TRIGGER : CH=CH8 EDGE=Down POSITION=40.0(ms),Unnamed: 1
,検出速度(r/min)
Time(ms),CH2
0,94.921875
0.25,82.6171875
0.5,72.0703125
0.75,65.0390625
1,63.28125
1.25,66.796875
1.5,75
1.75,87.890625
2,99.0234375
2.25,106.0546875
2.5,112.5
2.75,112.5
3,107.2265625
3.25,99.0234375
3.5,87.890625
3.75,78.515625
4,69.7265625
4.25,65.0390625
4.5,63.8671875
4.75,68.5546875
5,76.171875
5.25,86.1328125
5.5,95.5078125
5.75,101.953125
6,105.46875
6.25,103.7109375
6.5,99.0234375
6.75,91.40625
7,80.859375
7.25,71.484375
7.5,63.8671875
7.75,61.5234375
8,64.453125
8.25,72.65625
8.5,84.375
8.75,97.8515625
9,109.5703125
9.25,117.1875
9.5,118.9453125
9.75,113.671875
10,105.46875
10.25,94.3359375
10.5,83.7890625
10.75,72.65625
11,66.2109375
11.25,63.28125
11.5,65.625
11.75,70.8984375
12,79.1015625
12.25,90.8203125
12.5,101.953125
12.75,108.3984375
13,110.15625
13.25,106.640625
13.5,100.1953125
13.75,89.0625
14,78.515625
14.25,69.140625
14.5,65.625
14.75,66.2109375
15,72.65625
15.25,83.7890625
15.5,95.5078125
15.75,105.46875
16,113.671875
16.25,116.6015625
16.5,115.4296875
16.75,107.8125
17,99.0234375
17.25,86.71875
17.5,76.7578125
17.75,69.140625
18,64.453125
18.25,65.625
18.5,72.65625
18.75,83.7890625
19,93.75
19.25,101.3671875
19.5,107.8125
19.75,111.328125
20,108.3984375
20.25,101.3671875
20.5,91.40625
20.75,80.2734375
21,71.484375
21.25,65.0390625
21.5,65.0390625
21.75,70.8984375
22,79.6875
22.25,91.9921875
22.5,103.7109375
22.75,111.328125
23,114.2578125
23.25,114.2578125
23.5,108.984375
23.75,99.609375
24,89.0625
24.25,78.515625
24.5,70.3125
24.75,65.0390625
25,65.0390625
25.25,69.7265625
25.5,77.34375
25.75,87.890625
26,97.265625
26.25,105.46875
26.5,107.8125
26.75,105.46875
27,98.4375
27.25,89.0625
27.5,78.515625
27.75,67.96875
28,60.9375
28.25,58.0078125
28.5,62.109375
28.75,69.7265625
29,81.4453125
29.25,93.75
29.5,106.0546875
29.75,113.671875
30,114.2578125
30.25,110.15625
30.5,103.7109375
30.75,93.75
31,80.2734375
31.25,72.0703125
31.5,64.453125
31.75,64.453125
32,66.2109375
32.25,73.2421875
32.5,82.6171875
32.75,91.40625
33,97.8515625
33.25,101.3671875
33.5,102.5390625
33.75,98.4375
34,89.6484375
34.25,81.4453125
34.5,70.8984375
34.75,65.0390625
35,60.3515625
35.25,63.28125
35.5,72.0703125
35.75,83.203125
36,96.09375
36.25,110.15625
36.5,119.53125
36.75,121.2890625
37,117.7734375
37.25,111.328125
37.5,100.1953125
37.75,88.4765625
38,77.9296875
38.25,70.3125
38.5,65.625
38.75,65.625
39,72.65625
39.25,81.4453125
39.5,91.9921875
39.75,101.953125
40,107.8125
40.25,111.328125
40.5,107.2265625
40.75,99.609375
41,88.4765625
41.25,77.9296875
41.5,68.5546875
41.75,63.28125
42,63.28125
42.25,67.96875
42.5,77.9296875
42.75,89.0625
43,102.5390625
43.25,111.9140625
43.5,116.6015625
43.75,118.359375
44,112.5
44.25,102.5390625
44.5,90.8203125
44.75,79.6875
45,69.7265625
45.25,65.625
45.5,65.625
45.75,69.7265625
46,77.9296875
46.25,87.890625
46.5,97.265625
46.75,103.7109375
47,107.2265625
47.25,104.8828125
47.5,97.8515625
47.75,88.4765625
48,77.9296875
48.25,68.5546875
48.5,62.6953125
48.75,60.3515625
49,62.6953125
49.25,69.140625
49.5,80.2734375
49.75,93.75
50,104.8828125
50.25,113.0859375
50.5,115.4296875
50.75,114.2578125
51,107.8125
51.25,97.8515625
51.5,87.3046875
51.75,76.7578125
52,72.0703125
52.25,69.140625
52.5,72.0703125
52.75,77.9296875
53,86.1328125
53.25,94.3359375
53.5,100.1953125
53.75,103.125
54,102.5390625
54.25,96.6796875
54.5,88.4765625
54.75,79.1015625
55,69.7265625
55.25,65.0390625
55.5,60.9375
55.75,62.109375
56,69.140625
56.25,79.6875
56.5,94.3359375
56.75,107.8125
57,116.015625
57.25,120.703125
57.5,118.9453125
57.75,111.9140625
58,100.78125
58.25,89.6484375
58.5,79.1015625
58.75,72.0703125
59,69.140625
59.25,70.3125
59.5,77.9296875
59.75,86.71875
60,97.265625
60.25,103.7109375
60.5,107.2265625
60.75,107.8125
61,104.296875
61.25,96.6796875
61.5,84.9609375
61.75,74.4140625
62,65.0390625
62.25,61.5234375
62.5,62.6953125
62.75,69.140625
63,79.1015625
63.25,91.9921875
63.5,104.8828125
63.75,114.84375
